Transaction_id,amount,currency,Transaction_type,payment_method,payment_status,customer_id,Transaction_Date
162,3390,GBP,Purchase,Debit Card,Refunded,6780,2020-01-27
163,759,EUR,Refund,PayPal,Refunded,3620,2020-07-04
164,2618,EUR,Purchase,Debit Card,Completed,10565,2023-03-04
165,2134,USD,Purchase,Debit Card,Pending,6331,2022-02-04
166,3632,EUR,Refund,Credit Card,Completed,3785,2022-03-26
167,1510,EUR,Refund,PayPal,Refunded,6397,2021-11-24
168,3880,EUR,Refund,Debit Card,Pending,7161,2024-03-26
169,3213,USD,Purchase,Credit Card,Pending,2232,2021-11-28
170,2912,GBP,Refund,Credit Card,Pending,4344,2021-11-14
171,809,USD,Refund,Debit Card,Completed,6573,2023-02-06
172,810,USD,Purchase,PayPal,Refunded,8200,2024-07-18
173,661,EUR,Purchase,Debit Card,Refunded,7421,2023-02-22
174,1402,USD,Refund,PayPal,Completed,6408,2021-08-14
175,1572,GBP,Purchase,Credit Card,Pending,613,2024-05-27
176,898,GBP,Purchase,PayPal,Completed,421,2023-04-19
177,3406,USD,Purchase,Debit Card,Pending,1145,2024-04-10
178,4528,GBP,Refund,Debit Card,Pending,749,2022-01-21
179,2204,EUR,Refund,Credit Card,Refunded,2532,2021-09-24
180,108,EUR,Purchase,Credit Card,Pending,7835,2022-07-04
181,962,EUR,Purchase,Debit Card,Refunded,6523,2021-02-10
182,4368,EUR,Refund,Credit Card,Refunded,8994,2022-03-18
183,1338,EUR,Purchase,Debit Card,Completed,3245,2022-03-18
184,2907,EUR,Purchase,Credit Card,Refunded,2048,2023-04-21
185,4258,EUR,Purchase,Credit Card,Pending,5146,2021-09-15
186,3701,EUR,Refund,PayPal,Refunded,424,2023-11-29
187,3243,EUR,Purchase,PayPal,Refunded,7403,2022-01-10
188,2192,EUR,Purchase,PayPal,Refunded,5458,2022-05-21
189,2849,EUR,Refund,PayPal,Completed,8595,2023-11-27
190,2388,EUR,Purchase,Debit Card,Refunded,7445,2021-05-02
191,4246,EUR,Purchase,Credit Card,Completed,8460,2023-12-19
192,890,GBP,Refund,Debit Card,Pending,3811,2024-04-28
193,2267,USD,Purchase,Credit Card,Completed,10012,2024-02-07
194,1312,USD,Purchase,PayPal,Pending,9422,2023-06-06
195,1366,EUR,Refund,Credit Card,Refunded,10894,2020-10-21
196,2968,GBP,Purchase,PayPal,Pending,710,2020-05-18
197,2304,GBP,Refund,PayPal,Refunded,8604,2022-03-28
198,1919,GBP,Refund,Credit Card,Refunded,7656,2022-12-27
199,1795,GBP,Purchase,Credit Card,Completed,5694,2020-06-22
200,1733,GBP,Refund,Debit Card,Refunded,8006,2020-10-24
201,2593,EUR,Refund,Credit Card,Pending,8330,2021-08-08
202,4054,EUR,Purchase,PayPal,Pending,5810,2023-01-31
203,4276,EUR,Refund,Credit Card,Refunded,6068,2021-05-23
204,4216,EUR,Purchase,Credit Card,Refunded,7885,2020-08-31
205,2821,EUR,Refund,Credit Card,Completed,8537,2024-09-23
206,123,EUR,Refund,Credit Card,Completed,6495,2022-05-25
207,2613,EUR,Purchase,Debit Card,Refunded,7843,2021-01-02
208,4613,EUR,Purchase,Credit Card,Pending,10366,2021-04-09
209,1365,EUR,Purchase,Credit Card,Completed,246,2022-02-16
210,4663,GBP,Refund,Debit Card,Refunded,2800,2021-05-01
211,2741,USD,Refund,PayPal,Pending,2944,2022-02-01
212,4615,USD,Refund,Credit Card,Pending,6078,2024-06-19
213,1321,GBP,Refund,Credit Card,Completed,9079,2020-10-14
214,2913,USD,Purchase,PayPal,Pending,435,2024-03-22
215,1250,EUR,Refund,Credit Card,Refunded,5511,2020-09-04
216,2830,GBP,Refund,PayPal,Completed,9691,2023-12-11
217,3275,USD,Refund,Credit Card,Refunded,7007,2022-02-12
218,3234,EUR,Purchase,Debit Card,Pending,611,2021-11-25
219,1442,GBP,Purchase,Debit Card,Pending,9538,2020-10-26
220,782,USD,Purchase,Debit Card,Completed,8723,2021-03-11
221,207,GBP,Purchase,Credit Card,Pending,1154,2022-03-01
222,1871,GBP,Refund,PayPal,Refunded,5286,2024-09-30
223,4373,GBP,Purchase,PayPal,Pending,5305,2023-11-20
224,1286,USD,Refund,Debit Card,Pending,1240,2021-07-25
225,2208,USD,Refund,Debit Card,Completed,7907,2023-02-23
226,4943,USD,Refund,Debit Card,Pending,8571,2021-05-17
227,2009,GBP,Refund,PayPal,Pending,20,2023-11-05
228,2888,GBP,Purchase,Credit Card,Pending,3683,2023-05-01
229,4064,GBP,Refund,PayPal,Pending,3538,2022-01-15
230,1414,GBP,Purchase,PayPal,Pending,10994,2021-01-05
231,930,GBP,Refund,PayPal,Pending,7824,2022-01-01
232,4416,GBP,Refund,PayPal,Refunded,4974,2020-06-15
233,859,USD,Refund,Credit Card,Refunded,8964,2022-07-16
234,3573,EUR,Purchase,Credit Card,Pending,10172,2022-12-04
235,3859,GBP,Refund,PayPal,Refunded,2123,2020-11-25
236,2249,USD,Refund,Debit Card,Refunded,876,2020-02-10
237,1035,EUR,Refund,PayPal,Completed,10980,2024-05-29
238,2859,USD,Refund,Credit Card,Refunded,5451,2020-11-05
239,1062,GBP,Refund,PayPal,Refunded,5047,2021-11-19
240,1790,GBP,Purchase,PayPal,Pending,8879,2024-03-26
241,373,EUR,Purchase,Debit Card,Pending,3155,2022-06-14
242,995,USD,Purchase,Debit Card,Refunded,3032,2024-07-28
243,4876,EUR,Purchase,Debit Card,Refunded,4016,2024-09-11
244,4110,EUR,Purchase,Debit Card,Pending,8701,2021-06-25
245,602,EUR,Purchase,Debit Card,Refunded,3694,2021-05-21
246,1565,EUR,Purchase,Credit Card,Completed,6339,2020-03-07
247,2262,GBP,Purchase,Credit Card,Pending,7815,2020-10-08
248,289,USD,Refund,Credit Card,Refunded,2379,2021-10-06
249,651,EUR,Purchase,Debit Card,Refunded,4499,2022-11-25
250,1032,USD,Refund,Credit Card,Completed,6978,2021-06-30
251,3820,EUR,Purchase,Debit Card,Pending,6168,2020-06-06
252,3042,EUR,Refund,Debit Card,Refunded,8958,2022-09-08
253,4130,GBP,Refund,Credit Card,Pending,3674,2024-03-28
254,324,EUR,Purchase,Debit Card,Refunded,9708,2024-09-24
255,2307,USD,Refund,Credit Card,Refunded,4993,2024-05-13
256,3110,USD,Purchase,Debit Card,Refunded,1483,2023-02-12
257,1840,EUR,Purchase,Credit Card,Pending,10451,2021-05-03
258,3881,GBP,Purchase,Credit Card,Completed,5252,2022-10-21
259,3842,USD,Purchase,Debit Card,Pending,8895,2022-05-03
260,3675,USD,Purchase,PayPal,Refunded,4242,2023-11-16
261,216,GBP,Refund,Credit Card,Completed,6803,2022-01-27
262,2040,USD,Refund,Debit Card,Refunded,4059,2021-01-01
263,2276,EUR,Refund,Credit Card,Pending,10866,2021-12-16
264,1682,EUR,Refund,PayPal,Completed,8010,2020-02-19
265,12,EUR,Purchase,Debit Card,Pending,4272,2023-04-06
266,4010,GBP,Purchase,Debit Card,Pending,8497,2020-12-30
267,3830,GBP,Purchase,Credit Card,Completed,4318,2021-06-04
268,529,USD,Refund,PayPal,Completed,1465,2022-09-26
269,4741,GBP,Purchase,Credit Card,Pending,1773,2024-02-29
270,2547,GBP,Purchase,Debit Card,Completed,4339,2024-03-31
271,4602,USD,Refund,Debit Card,Completed,6887,2021-06-07
272,4591,USD,Refund,Credit Card,Completed,625,2020-12-17
273,947,EUR,Purchase,Credit Card,Completed,5171,2022-10-23
274,3622,GBP,Purchase,Debit Card,Completed,7069,2021-01-15
275,293,EUR,Refund,Credit Card,Completed,8802,2023-07-10
276,2694,USD,Purchase,PayPal,Completed,776,2020-12-01
277,3616,EUR,Refund,Credit Card,Pending,3686,2022-06-23
278,3902,USD,Refund,Credit Card,Pending,7418,2021-02-12
279,2880,EUR,Refund,Credit Card,Refunded,2945,2020-03-21
280,3533,USD,Refund,PayPal,Refunded,2879,2021-10-22
281,958,EUR,Refund,PayPal,Pending,3689,2024-01-09
282,4653,EUR,Purchase,Debit Card,Completed,1918,2023-06-16
283,1329,GBP,Refund,Credit Card,Pending,2434,2022-06-25
284,107,GBP,Refund,Credit Card,Refunded,6790,2020-05-15
285,3579,USD,Purchase,PayPal,Completed,340,2023-04-27
286,1415,EUR,Refund,PayPal,Pending,6418,2024-01-22
287,1396,GBP,Refund,Debit Card,Pending,6369,2021-03-14
288,2136,GBP,Purchase,Credit Card,Pending,10950,2021-10-31
289,2702,USD,Purchase,Debit Card,Completed,7411,2023-07-14
290,480,GBP,Refund,Credit Card,Completed,2698,2020-11-22
291,4631,EUR,Purchase,Debit Card,Completed,1125,2021-03-13
292,3380,EUR,Purchase,PayPal,Completed,2508,2022-02-20
293,2186,EUR,Refund,Debit Card,Completed,2971,2020-11-24
294,2774,GBP,Purchase,PayPal,Completed,4811,2022-12-02
295,1542,EUR,Refund,Credit Card,Completed,7586,2022-07-21
296,2964,USD,Purchase,PayPal,Refunded,5017,2024-09-13
297,4483,GBP,Purchase,PayPal,Completed,2911,2020-04-16
298,232,USD,Purchase,PayPal,Pending,10555,2024-07-07
299,3705,GBP,Refund,Credit Card,Refunded,5367,2021-09-19
300,4650,GBP,Purchase,PayPal,Completed,3305,2021-04-04
301,2096,GBP,Purchase,PayPal,Refunded,4274,2023-10-26
302,1499,EUR,Purchase,Credit Card,Pending,5286,2024-09-30
303,534,USD,Purchase,PayPal,Refunded,7480,2023-10-05
304,4594,GBP,Purchase,Debit Card,Completed,7271,2020-07-04
305,1005,EUR,Purchase,Debit Card,Refunded,3719,2020-08-26
306,4069,GBP,Refund,PayPal,Pending,137,2021-11-06
307,2213,GBP,Refund,PayPal,Refunded,7583,2022-06-10
308,4553,USD,Purchase,Credit Card,Pending,8273,2021-06-08
309,384,GBP,Refund,PayPal,Completed,9566,2022-05-09
310,3686,EUR,Purchase,Debit Card,Refunded,7996,2020-12-12
311,741,GBP,Refund,Credit Card,Refunded,7960,2024-08-11
312,436,USD,Refund,Credit Card,Pending,10168,2021-03-12
313,2716,GBP,Refund,Credit Card,Completed,1310,2023-12-05
314,2497,EUR,Refund,PayPal,Refunded,6324,2023-02-16
315,3360,USD,Purchase,Debit Card,Pending,10617,2021-07-24
316,1605,EUR,Purchase,PayPal,Refunded,10012,2024-02-07
317,1160,USD,Refund,Credit Card,Refunded,8442,2020-11-30
318,1833,USD,Purchase,Debit Card,Refunded,9909,2023-06-24
319,770,GBP,Refund,Credit Card,Refunded,688,2023-03-26
320,245,GBP,Purchase,Credit Card,Pending,9227,2023-09-29
321,2109,GBP,Purchase,PayPal,Completed,8204,2024-06-12
322,4721,USD,Purchase,Debit Card,Completed,2114,2022-05-22
323,470,EUR,Refund,PayPal,Pending,7846,2024-01-01
324,4101,GBP,Refund,PayPal,Pending,1814,2023-06-27
325,4226,USD,Purchase,Debit Card,Pending,2750,2020-03-07
326,1413,USD,Refund,Debit Card,Refunded,9762,2023-06-21
327,2833,USD,Refund,Debit Card,Completed,7048,2023-04-28
328,1362,EUR,Refund,Credit Card,Refunded,9221,2023-03-04
329,3859,GBP,Purchase,Credit Card,Completed,6230,2022-02-18
330,1736,GBP,Refund,PayPal,Completed,3365,2020-11-07
331,4034,EUR,Purchase,Credit Card,Pending,3707,2022-11-11
332,4200,EUR,Refund,PayPal,Refunded,5033,2020-11-29
333,2924,GBP,Refund,Debit Card,Pending,8237,2020-07-28
334,1636,USD,Refund,PayPal,Refunded,3220,2020-07-24
335,1071,GBP,Purchase,Credit Card,Refunded,7422,2020-07-01
336,2307,EUR,Purchase,Credit Card,Completed,7096,2020-08-28
337,2240,GBP,Refund,PayPal,Refunded,6645,2022-11-21
338,132,USD,Refund,Debit Card,Refunded,10766,2024-08-14
339,3571,GBP,Refund,PayPal,Completed,9775,2021-02-23
340,1515,USD,Purchase,Credit Card,Completed,8971,2023-11-06
341,4544,GBP,Refund,Debit Card,Pending,8048,2022-12-12
342,1100,EUR,Purchase,Debit Card,Refunded,9892,2020-07-15
343,63,GBP,Refund,Credit Card,Completed,4131,2021-12-29
344,1889,EUR,Refund,PayPal,Completed,599,2020-03-26
345,4383,EUR,Refund,Credit Card,Pending,3897,2020-11-28
346,3544,EUR,Purchase,Debit Card,Refunded,5985,2022-01-05
347,4478,USD,Purchase,Debit Card,Refunded,5722,2020-04-05
348,884,EUR,Refund,Debit Card,Pending,6589,2021-09-28
349,1429,USD,Purchase,PayPal,Completed,3051,2022-07-18
350,3628,GBP,Refund,Debit Card,Completed,2441,2022-03-19
351,4241,EUR,Refund,PayPal,Refunded,10395,2022-07-15
352,3728,GBP,Purchase,Credit Card,Pending,1116,2024-01-27
353,2994,EUR,Refund,Debit Card,Completed,1123,2021-07-26
354,534,EUR,Refund,Debit Card,Refunded,10035,2023-04-11
355,4964,USD,Purchase,Credit Card,Completed,9835,2024-05-13
356,2173,EUR,Purchase,Credit Card,Pending,10885,2023-04-14
357,4597,EUR,Purchase,PayPal,Completed,9637,2023-04-03
358,3164,EUR,Refund,Credit Card,Refunded,2083,2021-01-17
359,4475,GBP,Refund,Debit Card,Completed,9911,2024-04-18
360,4957,GBP,Purchase,Debit Card,Refunded,4049,2023-01-31
361,4425,USD,Refund,Credit Card,Refunded,193,2020-11-20
362,1732,GBP,Purchase,Debit Card,Refunded,138,2020-10-05
363,1265,GBP,Refund,Credit Card,Pending,1120,2023-12-11
364,685,EUR,Refund,Credit Card,Refunded,4135,2024-04-25
365,2268,EUR,Refund,PayPal,Refunded,7043,2023-06-09
366,832,GBP,Refund,Debit Card,Refunded,8640,2021-06-28
367,3271,USD,Purchase,Debit Card,Pending,5833,2020-06-24
368,1388,EUR,Purchase,Credit Card,Pending,9722,2021-12-25
369,4353,EUR,Refund,PayPal,Refunded,7714,2022-06-10
370,586,EUR,Purchase,PayPal,Completed,6419,2021-05-23
371,2389,GBP,Purchase,Debit Card,Refunded,6049,2022-08-17
372,4190,GBP,Refund,PayPal,Completed,492,2024-05-11
373,865,GBP,Purchase,Credit Card,Refunded,3145,2023-06-13
374,4826,EUR,Purchase,Debit Card,Completed,1305,2021-09-06
375,4184,USD,Purchase,Debit Card,Pending,2925,2024-05-10
376,2013,GBP,Purchase,PayPal,Pending,2476,2020-02-20
377,4002,GBP,Refund,Debit Card,Refunded,629,2021-09-01
378,1336,GBP,Purchase,Debit Card,Refunded,827,2021-12-27
379,2906,USD,Refund,PayPal,Refunded,6068,2021-05-23
380,4835,GBP,Purchase,Debit Card,Refunded,10117,2022-08-02
381,2540,GBP,Purchase,Debit Card,Refunded,9493,2022-01-05
382,2120,USD,Refund,PayPal,Completed,9565,2020-05-23
383,2241,EUR,Purchase,Debit Card,Refunded,88,2021-12-11
384,1730,USD,Refund,PayPal,Completed,5433,2021-10-31
385,4478,USD,Purchase,Debit Card,Pending,10742,2021-01-04
386,1730,USD,Purchase,PayPal,Completed,6610,2021-07-04
387,4306,USD,Refund,Debit Card,Refunded,3083,2022-12-09
388,947,EUR,Purchase,Credit Card,Refunded,5700,2022-12-09
389,666,USD,Purchase,Credit Card,Refunded,3752,2023-05-25
390,1816,EUR,Refund,Debit Card,Refunded,8021,2021-01-24
391,2023,EUR,Purchase,Debit Card,Completed,8027,2022-01-15
392,4650,USD,Purchase,Credit Card,Refunded,5198,2023-01-28
393,139,USD,Refund,PayPal,Pending,9193,2023-07-30
394,114,EUR,Refund,Credit Card,Completed,7923,2021-03-01
395,3496,GBP,Purchase,Debit Card,Refunded,5851,2020-04-28
396,2506,EUR,Refund,PayPal,Refunded,9278,2021-11-03
397,57,USD,Refund,Debit Card,Completed,1303,2023-09-13
398,1309,EUR,Refund,Credit Card,Completed,6375,2022-01-29
399,4033,USD,Refund,Credit Card,Completed,7758,2020-11-01
400,3217,GBP,Purchase,PayPal,Pending,1241,2023-05-10
401,1120,GBP,Purchase,Credit Card,Refunded,6195,2021-06-01
402,3250,USD,Purchase,Credit Card,Refunded,10530,2024-05-01
403,1305,GBP,Purchase,PayPal,Completed,9011,2024-05-28
404,1179,USD,Refund,Debit Card,Pending,7985,2023-07-29
405,3565,USD,Purchase,Debit Card,Completed,7454,2021-09-06
406,3505,GBP,Refund,Credit Card,Completed,1403,2020-01-27
407,4433,USD,Refund,Credit Card,Pending,9840,2020-02-24
408,4155,GBP,Purchase,Credit Card,Completed,349,2022-07-03
409,2184,EUR,Purchase,Debit Card,Refunded,373,2020-07-17
410,3327,GBP,Purchase,PayPal,Refunded,145,2021-02-03
411,2394,GBP,Purchase,Debit Card,Completed,1567,2020-09-08
412,134,USD,Refund,Debit Card,Refunded,4966,2022-02-28
413,4337,USD,Refund,Debit Card,Refunded,6092,2022-11-08
414,4866,GBP,Refund,Credit Card,Completed,4349,2021-02-07
415,747,EUR,Purchase,PayPal,Refunded,1578,2022-04-05
416,770,GBP,Purchase,Debit Card,Refunded,7902,2024-03-26
417,2950,GBP,Refund,PayPal,Pending,3543,2024-07-09
418,4534,GBP,Refund,Debit Card,Refunded,7800,2022-01-21
419,4100,USD,Refund,Debit Card,Completed,4213,2021-01-26
420,2799,USD,Refund,PayPal,Refunded,4763,2020-01-11
421,2430,GBP,Refund,Debit Card,Refunded,2613,2022-11-06
422,3935,EUR,Refund,PayPal,Completed,6015,2020-06-17
