Interaction_id,interaction_type,interaction_outcome,follow_up_required,interaction_channel,follow_up_date,customer_id
327,Feedback,Implemented,No ,Email,2024-10-04,10385
328,Feedback,Resolved,No ,Email,2024-10-11,5382
329,Support Request,Pending,Yes,Email,2024-10-06,1652
330,Feedback,Implemented,Yes,Email,2024-10-25,10582
331,Complaint,Pending,Yes,Phone,2024-10-29,4430
332,Feedback,Resolved,Yes,Email,2024-11-01,3427
333,Support Request,Resolved,No ,Phone,2024-10-20,3548
334,Feedback,Resolved,Yes,Phone,2024-10-18,7220
335,Support Request,Pending,Yes,Chat,2024-10-11,8074
336,Support Request,Unresolved,No ,Chat,2024-10-28,7370
337,Support Request,Pending,Yes,Phone,2024-10-09,112
338,Complaint,Implemented,No ,Email,2024-10-26,9576
339,Complaint,Resolved,No ,Phone,2024-10-24,4542
340,Support Request,Unresolved,Yes,Chat,2024-10-15,2975
341,Support Request,Pending,Yes,Email,2024-10-26,4297
342,Feedback,Pending,No ,Chat,2024-10-28,2876
343,Complaint,Pending,Yes,Email,2024-10-14,5601
344,Feedback,Pending,No ,Chat,2024-10-17,1963
345,Feedback,Resolved,Yes,Phone,2024-11-01,4671
346,Complaint,Unresolved,No ,Email,2024-10-27,10846
347,Feedback,Unresolved,No ,Phone,2024-10-25,8009
348,Complaint,Pending,Yes,Email,2024-10-09,2295
349,Support Request,Unresolved,No ,Email,2024-10-13,804
350,Complaint,Implemented,Yes,Chat,2024-10-24,5330
351,Support Request,Unresolved,Yes,Phone,2024-10-07,10772
352,Complaint,Pending,Yes,Chat,2024-10-31,8809
353,Feedback,Resolved,No ,Email,2024-10-27,3015
354,Feedback,Unresolved,No ,Chat,2024-10-11,10346
355,Feedback,Implemented,Yes,Phone,2024-10-11,6449
356,Complaint,Resolved,Yes,Phone,2024-10-28,5211
357,Complaint,Resolved,No ,Chat,2024-10-04,10948
358,Complaint,Pending,No ,Phone,2024-10-26,9674
359,Support Request,Implemented,Yes,Phone,2024-10-13,314
360,Complaint,Resolved,Yes,Chat,2024-10-20,9445
361,Support Request,Implemented,Yes,Chat,2024-10-22,4800
362,Support Request,Implemented,No ,Chat,2024-10-07,175
363,Support Request,Implemented,No ,Phone,2024-10-17,755
364,Feedback,Implemented,No ,Chat,2024-10-26,2968
365,Complaint,Resolved,No ,Email,2024-10-15,374
366,Support Request,Implemented,Yes,Email,2024-10-16,9171
367,Feedback,Resolved,No ,Email,2024-10-12,6840
368,Complaint,Implemented,Yes,Chat,2024-10-23,107
369,Support Request,Unresolved,No ,Phone,2024-10-23,9785
370,Feedback,Pending,No ,Phone,2024-10-19,4877
371,Support Request,Implemented,Yes,Chat,2024-10-19,6189
372,Feedback,Resolved,Yes,Phone,2024-11-02,10421
373,Complaint,Implemented,No ,Phone,2024-10-20,5633
374,Feedback,Pending,No ,Phone,2024-10-17,2856
375,Feedback,Pending,No ,Chat,2024-10-13,4955
376,Complaint,Implemented,No ,Phone,2024-10-05,3877
377,Support Request,Unresolved,No ,Email,2024-10-20,6523
378,Support Request,Pending,Yes,Chat,2024-10-24,5280
379,Support Request,Resolved,No ,Phone,2024-10-22,1819
380,Complaint,Implemented,No ,Email,2024-10-16,6484
381,Support Request,Pending,Yes,Email,2024-10-20,827
382,Support Request,Resolved,Yes,Phone,2024-10-06,10508
383,Support Request,Implemented,Yes,Chat,2024-10-19,4305
384,Feedback,Implemented,No ,Email,2024-10-13,4851
385,Complaint,Pending,Yes,Phone,2024-10-09,4123
386,Feedback,Resolved,No ,Phone,2024-10-15,10753
387,Complaint,Pending,Yes,Chat,2024-10-29,309
388,Support Request,Implemented,Yes,Email,2024-10-05,3009
389,Feedback,Resolved,No ,Email,2024-10-28,1004
390,Feedback,Pending,Yes,Phone,2024-10-20,1683
391,Support Request,Unresolved,Yes,Chat,2024-10-11,5928
392,Complaint,Unresolved,Yes,Phone,2024-10-11,6430
393,Support Request,Pending,No ,Phone,2024-10-12,8177
394,Support Request,Pending,Yes,Email,2024-11-02,3010
395,Support Request,Pending,Yes,Phone,2024-10-23,6376
396,Complaint,Pending,No ,Phone,2024-10-06,5698
397,Support Request,Resolved,No ,Email,2024-10-18,8188
398,Feedback,Unresolved,No ,Phone,2024-10-04,8053
399,Feedback,Pending,Yes,Phone,2024-10-12,8883
400,Complaint,Resolved,No ,Phone,2024-10-15,8418
401,Support Request,Unresolved,Yes,Email,2024-10-27,696
402,Support Request,Implemented,No ,Chat,2024-10-11,3797
403,Support Request,Resolved,Yes,Phone,2024-10-29,4993
404,Feedback,Implemented,No ,Email,2024-10-28,8346
405,Feedback,Resolved,No ,Phone,2024-10-25,771
406,Support Request,Pending,No ,Chat,2024-10-07,521
407,Complaint,Unresolved,Yes,Phone,2024-10-31,5638
408,Complaint,Implemented,No ,Chat,2024-10-12,8058
409,Complaint,Implemented,Yes,Phone,2024-10-25,9581
410,Complaint,Unresolved,Yes,Chat,2024-10-19,2984
411,Complaint,Pending,Yes,Chat,2024-10-19,9916
412,Feedback,Implemented,No ,Phone,2024-10-25,1444
413,Feedback,Pending,No ,Email,2024-10-25,10237
414,Complaint,Implemented,Yes,Phone,2024-10-15,7702
415,Support Request,Implemented,Yes,Chat,2024-10-25,10369
416,Support Request,Pending,Yes,Phone,2024-10-20,8334
417,Feedback,Pending,Yes,Email,2024-11-01,3142
418,Feedback,Pending,No ,Phone,2024-10-04,2370
419,Complaint,Resolved,Yes,Chat,2024-10-14,6601
420,Support Request,Resolved,Yes,Chat,2024-10-26,3377
421,Feedback,Pending,No ,Chat,2024-10-22,9140
422,Support Request,Unresolved,No ,Chat,2024-10-18,2824
423,Feedback,Unresolved,Yes,Chat,2024-10-28,5813
424,Feedback,Resolved,Yes,Phone,2024-10-28,6470
425,Feedback,Implemented,Yes,Phone,2024-10-18,55
426,Support Request,Implemented,No ,Email,2024-10-14,6833
427,Feedback,Resolved,Yes,Email,2024-10-21,5584
428,Complaint,Unresolved,No ,Chat,2024-10-13,5588
429,Support Request,Resolved,Yes,Chat,2024-11-02,3855
430,Complaint,Pending,No ,Phone,2024-10-06,9343
431,Complaint,Pending,Yes,Phone,2024-10-21,3232
432,Feedback,Unresolved,No ,Email,2024-10-20,5038
433,Complaint,Implemented,Yes,Phone,2024-10-08,245
434,Support Request,Resolved,Yes,Phone,2024-10-24,2715
435,Complaint,Pending,Yes,Phone,2024-10-07,1820
436,Feedback,Unresolved,Yes,Chat,2024-10-30,9269
437,Support Request,Resolved,Yes,Phone,2024-10-13,9453
438,Complaint,Pending,No ,Chat,2024-10-25,9396
439,Complaint,Pending,Yes,Chat,2024-10-04,2946
440,Complaint,Pending,No ,Phone,2024-10-25,9621
441,Feedback,Unresolved,Yes,Phone,2024-10-19,4237
442,Support Request,Unresolved,No ,Phone,2024-10-16,6791
443,Complaint,Implemented,Yes,Phone,2024-10-17,8355
444,Support Request,Resolved,Yes,Email,2024-10-29,1163
445,Feedback,Unresolved,Yes,Email,2024-10-30,10836
446,Complaint,Resolved,No ,Chat,2024-10-14,8834
447,Complaint,Resolved,No ,Email,2024-10-25,7672
448,Support Request,Resolved,Yes,Email,2024-10-06,4000
449,Feedback,Unresolved,No ,Email,2024-10-08,4843
450,Feedback,Pending,Yes,Email,2024-10-19,1339
451,Support Request,Implemented,Yes,Email,2024-10-22,6071
452,Complaint,Pending,Yes,Phone,2024-10-19,5919
453,Feedback,Resolved,Yes,Phone,2024-10-11,2223
454,Feedback,Implemented,Yes,Chat,2024-10-25,7963
455,Support Request,Unresolved,Yes,Email,2024-10-18,1429
456,Complaint,Pending,Yes,Phone,2024-10-19,8385
457,Feedback,Resolved,Yes,Email,2024-11-01,3317
458,Support Request,Implemented,Yes,Phone,2024-10-08,7861
459,Support Request,Pending,Yes,Phone,2024-10-14,10004
460,Complaint,Unresolved,Yes,Email,2024-10-10,10173
461,Feedback,Implemented,No ,Chat,2024-11-02,6630
462,Support Request,Unresolved,No ,Chat,2024-10-05,9670
463,Complaint,Implemented,Yes,Email,2024-10-09,8393
464,Support Request,Implemented,Yes,Email,2024-10-28,4702
465,Feedback,Pending,Yes,Email,2024-10-09,8910
466,Support Request,Unresolved,Yes,Chat,2024-10-14,7475
467,Support Request,Implemented,No ,Email,2024-10-06,7675
468,Complaint,Unresolved,Yes,Chat,2024-10-12,5649
469,Support Request,Pending,Yes,Chat,2024-10-12,10634
470,Feedback,Pending,Yes,Phone,2024-10-10,7321
471,Support Request,Resolved,Yes,Email,2024-10-16,9248
472,Feedback,Implemented,Yes,Phone,2024-10-10,7725
473,Feedback,Implemented,No ,Chat,2024-10-16,5844
474,Support Request,Unresolved,No ,Phone,2024-10-21,1532
475,Feedback,Unresolved,Yes,Chat,2024-10-09,157
476,Feedback,Unresolved,Yes,Email,2024-10-07,8931
477,Complaint,Resolved,Yes,Chat,2024-10-26,7202
478,Support Request,Unresolved,No ,Email,2024-11-01,4583
